question,answer
"Q: I was wondering if a pain management office is acting illegally/did an illegal action.. I was discharged as a patient from a pain management office after them telling me that a previous pain management specialist I saw administered a steroid shot wrong and I told them in the portal that I spoke to lawyers for advice but no lawsuit/case was created. It was maybe 1-2 months after I was discharged that I no longer have access to my patient portal with them. Every time I try to login I enter my credentials, wait a few seconds, and then I get re-directed back to the original screen where I have various options to login. I know I can speak to the office directly and ask them about what specifically is going on, talk to other lawyers if this is a violation of my rights, etc. but I was just wondering if anyone on this site would know if this action is in fact illegal. ","A:In Kentucky, your situation raises questions about patient rights and medical records access. If you were discharged from a pain management office and subsequently lost access to your patient portal, it's important to understand your rights regarding medical records. Under the Health Insurance Portability and Accountability Act (HIPAA), you have the right to access your own medical records. A healthcare provider cannot deny you access to your records, even if you were discharged from their practice. The issue with the patient portal could be a technical glitch or a deliberate action, but either way, it needs to be addressed. You should contact the pain management office directly to inquire about the issue with the patient portal. They are obligated to provide you with a way to access your medical records, which may include providing paper copies or access through a different electronic means. If the office is unresponsive or refuses to provide access to your records, consider speaking to a lawyer who is knowledgeable in health care law. They can guide you on how to enforce your rights to access your medical records and address any potential legal violations by the healthcare provider. Remember, your right to access your medical records is protected by law, and any obstacles to this access should be promptly addressed."
Q: My houseboat was moved while I was at work and was asked to leave the property after 16 months without any notices.. Management told me that he didn’t like those kind of people that came to visit me. I went on vacation and when I came back my electrical cord was missing and my water hose was cut in pieces. He than got of hold of me and said I have your boat and that he was putting a lien on it for back rent. I never received any notices from management. He than told me that he wanted me to leave the property and that he would hold my boat until i found another parking spot for it. I finally found a parking spot a year later and I find out that he liened my houseboat and was selling it and told me to sue him and gave me his lawyers contact. What options do I have. I now am homeless and I lost my job and seeing myself falling as time goes. Any help would be appreciated. ,"A:If your houseboat was moved without your permission and you were asked to leave the property after 16 months without any notices, and the management has placed a lien on your houseboat and is attempting to sell it, you may have legal options to challenge their actions. First, you may want to consult with an attorney who specializes in property law or landlord-tenant law to review your case and provide guidance on your legal rights and options. It may also be helpful to gather any evidence you have, such as receipts or documentation of payments or communications with the management, to support your case. Some potential legal claims you may have against the management include breach of contract, conversion, or wrongful eviction. These claims may allow you to seek damages or other forms of relief, such as the return of your houseboat or compensation for any losses you have suffered. It's important to act quickly, as there may be deadlines or other requirements for filing a legal claim. An attorney can provide guidance on the best course of action and help you navigate the legal process."
"Q: Wondering if I could sue a dealership if I’ve had to replace my transmission 2 times within a year. I’ve had to replace my transmission now 2 different times in 10 months of owning my 2018 Ford Expedition. My first replacement was $5,200 and then 1 1/2 months later the transmission went out and now they are working on it again ","A:Yes, you can sue a dealership if you have had to replace your transmission 2 times within a year. Whether you will be successful depends on the facts and your presentation. You don't mention anything about any written agreements. Allowing an attorney to evaluate, organize and draft your conciliation or (small claims) complaint (up to $15,000) would be a wise investment. A well polished complaint will not only provide the judge a solid foundation to rule in your favor, but a detailed outline on which to base your oral argument. It would provide you a distinct advantage over the opposing party. The fees can be reasonable depending on the attorney."
"Q: Do I need to file for CS & custody through Indian tribe since I divorced through there, not tribal member?. Ex husband is a tribal member, we had written a parental agreement including an amount he would pay monthly. It was stamped and certified, I believe, by their judge. The agreement has not been honored in over a year. I live out of the state I was divorced in (AZ), Id like to file here if its possible. Ex also lives out of the state we were divorced in. ","A:Once all parties have moved to another state, it is generally possible to register the order in the state where the child is now residing. Generally you need court permission to move a child out of state once a custody order has been entered (at least in Nebraska). If that did not happen before the move, then it can make matters more complicated."
"Q: I am planning on releasing a tabletop rpg ""Raid Master,"" but a game called Rolemaster already exists. Too close?. My game is nothing like Rolemaster, different system, different theme (Indiana jones inspired while role is fantasy). However I plan on releasing other games with the ""-Master"" suffix such as ""Myth Master,"" but the publisher also had a ""Space Master"" at one time and is releasing new product for Role. Is this potential for a lawsuit? ","A:It's difficult to determine whether there is potential for a lawsuit without more information. Generally, the key question in cases involving trademarks is whether there is a likelihood of confusion between the marks. This analysis involves considering a number of factors, such as the similarity of the marks, the similarity of the goods or services, the sophistication of the consumers, and the strength of the senior user's mark. Based on the limited information provided, it seems that there may be some potential for confusion between ""Rolemaster"" and ""Raid Master,"" particularly given that they both contain the suffix ""Master."" However, the fact that the games have different themes and mechanics may weigh against a finding of likelihood of confusion. If you are concerned about potential trademark issues, it may be a good idea to consult with an intellectual property attorney who can provide more tailored advice based on the specifics of your situation."
"Q: How can I communicate intent to file criminal complaints without crossing the line into blackmail?. How can I communicate intent to file criminal complaints without crossing the line into blackmail? My sister is attempting to cut me out of the inheritance from my mother (there's no will), for which I have hired a civil attorney to sue her. However, my sister has also committed several serious crimes in the course of trying to steal from me. I don't want her to go to jail, but I can't let her steal my inheritance, either. I want to tell her that I'll have no choice but to report her for grand larceny, tax fraud, elder abuse of our now-deceased mother, and mortgage fraud (each of which is directly related to my inheritance) if she doesn't come to the negotiating table. All I want is the 50% to which I am entitled; not a penny more or less. How can I safely accomplish informing her of what she faces criminally without her being able to file a viable counterclaim for blackmail in civil court? Thank you for your time! ","A:Under California law, blackmail is a criminal offense that involves threatening to reveal information about someone in order to obtain money, property, or some other benefit. To avoid crossing the line into blackmail when communicating your intent to file criminal complaints, it is important to focus on your legal rights and the consequences of your sister's actions, rather than on any personal gain or benefit that you may receive. One way to communicate your intent to file criminal complaints without crossing the line into blackmail is to do so in writing, such as in an email or letter. In your communication, you should make it clear that you are not seeking any personal gain or benefit, but rather are simply asserting your legal rights and protecting yourself from your sister's criminal actions. It may also be helpful to seek legal advice from a qualified attorney who can help you understand your legal rights and options, as well as the best way to communicate your intent to file criminal complaints without crossing the line into blackmail. Overall, it is important to approach the situation carefully and to stay focused on your legal rights and the consequences of your sister's actions, rather than on any personal gain or benefit. By communicating your intent to file criminal complaints in a clear and concise manner, and seeking legal advice as necessary, you can help ensure that your rights are protected and that you receive the inheritance to which you are entitled."
Q: I have sole physical / legal custody of my sons. Could I marry and move to Canada after a visitation schedule change?. The court order states that I need to let the courts and their father know about a move 3 months in advance. Their father lives here in town and has the boys 3 weekends a month. We have been divorced since September 2020. The boys are 8 and 6. I do have passports for the boys. I am concerned that their father could stop a move after I am married. ,"A:As the custodial parent with sole physical and legal custody of your sons, you generally have the right to make decisions regarding their residence. However, if your court order specifies a notification requirement for a move, it is crucial to adhere to those terms. Before marrying and considering a move to Canada, carefully review the court order to ensure compliance with any stipulated notification procedures. If there is a visitation schedule change, and you anticipate any potential concerns from the noncustodial father, it may be advisable to communicate openly with him and attempt to reach an agreement."
"Q: Letter from Board of Supervisor says I have 90 days to appeal, nothing about notice of appeal, is it necessary?. Just want to know since this is day 45 out of the 90 days I have to appeal, do I need to first file a notice of appeal? What do I need to prove in this appeal? Excess Proceeds were 22k and they signed off on $7400 and plan on transferring 14,800 to their general fund. This is criminal and they know it. I showed up to the Board of Supervisors meeting and signed in yet they refused to let me speak. They gave percentages of my excess tax proceeds to someone who sold me the property because somehow his name is still showing on the deed. He is dead now. They then said the new owners of property were to get one fourth the proceeds why because they are used to stealing everyone's money no other reason and it is fraud and RICO ACT violations. So not sure what I'm supposed to prove. The dead man sold me the property the title company said they took care of it and as it turns out the land was unbuildable. They stopped me after they greenlighted the home to be built and I spent 40k so far. ","A:In California, if you've received a letter from the Board of Supervisors with a 90-day window to appeal their decision regarding excess tax proceeds, it's advisable to file a notice of appeal within that timeframe to preserve your right to challenge their decision. In your appeal, you should provide evidence and arguments to support your claim that the allocation of proceeds was improper, potentially involving legal violations such as fraud or RICO Act violations, as you've described. Consult with an attorney to help you prepare a strong appeal that addresses these issues effectively."
"Q: Hello, (Ref: Maritime PIRACY law vs. Civil/Criminal Law). Recently, in San Fran Bay Area, the Oakland/Alameda Island Estuary (a salt water navigable U.S. Waterway), has had incidents of ""so-called"" PIRACY. (Boats are being burglarized). THE QUESTION: Which law enforcement agency has jurisdiction, U.S. Coast GUARD or local county SHERIFF? Is following statement true?: ""IN OAKLAND ESTUARY, burglarize any TIED UP IN PORT boat, which is NOT out @anchor = NOT PIRACY. (Its only a local Sheriff + ins claim only, NOT Coast Guard PIRACY matter.) But, if boat is out-at-anchor, not a tied up in-port moored boat, then YES =PIRACY & Coast Guard USCG jurisdiction. So, @Port Burglary =NOT PIRACY, not USCG jurisdiction. @Anchor Burglary =PIRACY! Yes, USCG jurisdiction. Interesting, eh? Thank you, ","A:In the Oakland Estuary, both the U.S. Coast Guard and the local county Sheriff can have jurisdiction, but for different reasons and circumstances. The distinction between a boat being tied up in port versus being out at anchor doesn't necessarily determine whether an act is piracy under U.S. law. Typically, piracy, as defined under international and U.S. federal law, refers to criminal acts committed on the high seas. In practice, if a boat within the estuary, whether tied up or at anchor, is burglarized, the local county Sheriff would primarily handle it as a local crime. The U.S. Coast Guard has authority to enforce federal laws on navigable waters, but boat burglaries in local waters might not necessarily invoke their jurisdiction as ""piracy."" It's crucial to consider the specific facts and circumstances of each incident to determine appropriate jurisdiction. If there are concerns about maritime security or jurisdictional issues, consulting with local law enforcement and the Coast Guard can provide clarity."
Q: Can I move out of state with my children if I have a custody agreement in that state (I have full physical custody). I have full physical custody of my 2 children but am planning to move out of CA to TN in 6 months. My ex and I share joint legal custody and they have a visitation schedule of one weekend a month plus certain holidays. What legal provisions do I need to take to ensure a smooth moving process. I believe their other parent will be very angry for the move but it is in the best interest of mine and the kids quality of life. ,"A:In California, if you have full physical custody of your children and share joint legal custody with your ex, you generally have the right to move out of state. However, it's crucial to follow legal procedures to ensure a smooth transition. First, review your custody agreement to check if it contains any specific provisions regarding relocation. If it does, you must adhere to those terms. If not, you should notify your ex of your intention to move well in advance, preferably in writing. Provide information about your new address, contact details, and a proposed revised visitation schedule that accommodates the distance. It's essential to demonstrate that the move is in the best interest of the children's quality of life. Maintain open communication with your ex to try to reach an amicable agreement on the new visitation schedule. If your ex opposes the move, they may file a court motion to contest it. In such cases, be prepared to present evidence supporting the children's well-being and why the move is necessary. In California, the court will ultimately decide whether the move is in the children's best interest. Factors such as their relationship with both parents, the impact of the move on their lives, and their overall well-being will be considered. Consulting with an attorney experienced in family law can help you navigate this process and ensure the best outcome for your children."
